id,collection,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued[],dc.description.provenance[en],dc.identifier.citation[en_US],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[en_US],dc.publisher[en_US],dc.title[en_US],dc.abstract[en_US],dc.type[en_US]
bb1acdda-052b-4ef3-a44a-6c2bd44b27f4,1/4153,"Ahern, Terence C.",2020-02-16T04:41:59Z,2020-02-15T23:06:55Z,2020-02-16T04:41:59Z,2020-02-15T23:06:55Z,1995-10,"Made available in DSpace on 2020-02-16T04:41:59Z (GMT). No. of bitstreams: 1
1-7.pdf: 827200 bytes, checksum: b2ada38f4d971799e6162cb3016d6d16 (MD5)
  Previous issue date: 1995-10","Ahern, T. C. (1995). The Effect of Window State on User Behavior in an On-Line Computer Mediated Conference. In Schnase, J. L. & Cunnius, E. L. (Eds.), CSCL '95: The First International Conference on Computer Support for Collaborative Learning (pp. 1-7). Bloomington, Indiana, USA: Lawrence Erlbaum Associates, Inc.",https://repository.isls.org//handle/1/4154,https://doi.dx.org/10.22318/cscl1995.1,en,"Lawrence Erlbaum Associates, Inc.",The Effect of Window State on User Behavior in an On-Line Computer Mediated Conference,"The goal of this study was to investigate the effect the window state and management on the ability of users to maintain coherent interaction within an on-line me­diated conference. Industry design practice suggests that users should be able have direct control of the windowing display system. In order to conform to industry practice the IdeaWeb was redesigned from a single window display system to a modeless tiled window display system. It was assumed that a modeless windowing system would be preferable because the underlying graphic display system was dynamic. The results indicate that the students generally opted for a single window display system which is consistent with much of the previous research. Sequence data from the event logs demonstrate that students chose to treat the modeless window as static or modal. It appears that the students were concentrating on the cognitive task of managing the on-going computer mediated discussion. This study has important consequences for screen and window design not only for developing on-line conference systems, but within multimedia systems that have dense cognitive material. If the cognitive requirements of the main window are high, then a titled windowing system that requires little user intervention appears to be the design choice. However, if the requirement to recall information from window to window is low then a single window system display system is more appropriate. This would reduce not only the cognitive but the design and programming overhead as well.",Papers
8dc34855-1f2d-45d9-8d2e-2069f01c29d8,1/4153,"Edelson, Daniel C.||O’Neill, D. Kevin||Gomez, Louis M.||D’Amico, Laura",2020-02-16T04:42:00Z,2020-02-15T23:07:22Z,2020-02-16T04:42:00Z,2020-02-15T23:07:22Z,1995-10,"Made available in DSpace on 2020-02-16T04:42:00Z (GMT). No. of bitstreams: 1
107-111.pdf: 680896 bytes, checksum: a62ee2f1f280d060ea56dda9f136d7be (MD5)
  Previous issue date: 1995-10","Edelson, D. C., O’Neill, D. K., Gomez, L. M., & D’Amico, L. (1995). A Design for Effective Support of Inquiry and Collaboration. In Schnase, J. L. & Cunnius, E. L. (Eds.), CSCL '95: The First International Conference on Computer Support for Collaborative Learning (pp. 107-111). Bloomington, Indiana, USA: Lawrence Erlbaum Associates, Inc.",https://repository.isls.org//handle/1/4155,https://doi.dx.org/10.22318/cscl1995.107,en,"Lawrence Erlbaum Associates, Inc.",A Design for Effective Support of Inquiry and Collaboration,"The Collaboratory Notebook is a shared hypermedia database designed to provide a scaffold for students as they learn to conduct collaborative, open-ended investigations. Through its structure, the software provides students with a genre for communication about scientific inquiry. In this paper, we examine the design goals for the Collaboratory Notebook in the context of an example of its use. We analyze Notebook use through student characteristics including gender, previous experience with technology, and attitudes and beliefs about science.",Papers
49359393-66b3-44f3-aa4a-56385e2a155f,1/4153,"Ekeblad, Eva||Lindström, Berner",2020-02-16T04:42:00Z,2020-02-15T23:07:24Z,2020-02-16T04:42:00Z,2020-02-15T23:07:24Z,1995-10,"Made available in DSpace on 2020-02-16T04:42:00Z (GMT). No. of bitstreams: 1
112-115.pdf: 389221 bytes, checksum: 548011d4a1382479d3417b0aa4b30f10 (MD5)
  Previous issue date: 1995-10","Ekeblad, E. & Lindström, B. (1995). Collaboration as Pedagogy, Collaboration as Window. In Schnase, J. L. & Cunnius, E. L. (Eds.), CSCL '95: The First International Conference on Computer Support for Collaborative Learning (pp. 112-115). Bloomington, Indiana, USA: Lawrence Erlbaum Associates, Inc.",https://repository.isls.org//handle/1/4156,https://doi.dx.org/10.22318/cscl1995.112,en,"Lawrence Erlbaum Associates, Inc.","Collaboration as Pedagogy, Collaboration as Window","Collaborative use of educational software may be thought of as a pedagogical means for provoking an intended conceptual change. When a collaborative situation makes team members dependent on each other's actions for success, their negotiations during problem solving ought also to provide a window into their reasoning. However, in work with young children none of this is straightforward. At first sight their collaboration may look like it creates more opportunities for misunderstanding than for learning, and their reasoning does not make the conceptual content very explicit. A hermeneutic analysis which follows simultaneously the development of the varying perspectives from which the individual participants' understand the task, and the development of a joint approach to the task may provide a useful window into the learning process. The paper presents some highlights from an example of this kind of hermeneutic analysis. The development of the interaction between two children playing a new game intended to promote a conception of ""the system of numbers as a whole-to-parts system""'illustrates how children may provide each other with learning experiences even in the midst of misunderstanding.",Papers
753cfb11-af4a-4456-aaff-e2901674bea5,1/4153,"Favorin, Marjo",2020-02-16T04:42:01Z,2020-02-15T23:07:24Z,2020-02-16T04:42:01Z,2020-02-15T23:07:24Z,1995-10,"Made available in DSpace on 2020-02-16T04:42:01Z (GMT). No. of bitstreams: 1
116-119.pdf: 246067 bytes, checksum: f3c4590629693770474b30de912678a8 (MD5)
  Previous issue date: 1995-10","Favorin, M. (1995). Towards Computer Support for Collaborative Learning at Work: Six Requirements. In Schnase, J. L. & Cunnius, E. L. (Eds.), CSCL '95: The First International Conference on Computer Support for Collaborative Learning (pp. 116-119). Bloomington, Indiana, USA: Lawrence Erlbaum Associates, Inc.",https://repository.isls.org//handle/1/4157,https://doi.dx.org/10.22318/cscl1995.116,en,"Lawrence Erlbaum Associates, Inc.",Towards Computer Support for Collaborative Learning at Work: Six Requirements,"Instead of being an isolated activity reserved for classroom settings, learning is nowadays thought to be a central part of productive working activity. The growing use of information technology at work is a potential resource to support these - often collaborative - learning needs. However, it might be beneficial not to restrict support for collaborative learning at work to the same modes as in schools. To find out some suggestions how collaborative learning might be supported in working environments, some elements of learning are discussed and six requirements for learning support are identified.",Papers
dc114d0b-002a-4481-a477-3c0a94f4ce65,1/4153,"Ferraro, Anne||Rogers, Edwin||Geisler, Cheryl",2020-02-16T04:42:01Z,2020-02-15T23:07:26Z,2020-02-16T04:42:01Z,2020-02-15T23:07:26Z,1995-10,"Made available in DSpace on 2020-02-16T04:42:01Z (GMT). No. of bitstreams: 1
120-124.pdf: 546925 bytes, checksum: dbdfe48b44b05cb809592398d16cdc78 (MD5)
  Previous issue date: 1995-10","Ferraro, A., Rogers, E., & Geisler, C. (1995). Team Learning through Computer Supported Collaborative Design. In Schnase, J. L. & Cunnius, E. L. (Eds.), CSCL '95: The First International Conference on Computer Support for Collaborative Learning (pp. 120-124). Bloomington, Indiana, USA: Lawrence Erlbaum Associates, Inc.",https://repository.isls.org//handle/1/4158,https://doi.dx.org/10.22318/cscl1995.120,en,"Lawrence Erlbaum Associates, Inc.",Team Learning through Computer Supported Collaborative Design,"Colleges and universities have not traditionally educated their students in the benefits and techniques of collaboration. Rather traditional education has exalted the genius of the solitary scholar. Modem times demand otherwise of us, and educators must learn themselves how to teach collaboration. This is nowhere more evident than in the ""design disciplines,"" those whose practitioners spend substantial portions of their professional lives designing things. These include engineers (mechanical, electrical, civil, software, etc.), architects, and writers. This paper discusses the nature of collaboration in the design disciplines and describes innovations and studies in collaborative design education in which the authors are involved. A venue for collaborative design education and research is described as well.",Papers
d0b190ed-12c0-4dd5-9b57-33e4e078b6aa,1/4153,"Fischer, Gerhard",2020-02-16T04:42:01Z,2020-02-15T23:07:27Z,2020-02-16T04:42:01Z,2020-02-15T23:07:27Z,1995-10,"Made available in DSpace on 2020-02-16T04:42:01Z (GMT). No. of bitstreams: 1
125-129.pdf: 315558 bytes, checksum: 7ab5e6f26b2999ecb7c84905cf6f1b4f (MD5)
  Previous issue date: 1995-10","Fischer, G. (1995). Distributed Cognition, Learning Webs, Domain-Oriented Design Environments. In Schnase, J. L. & Cunnius, E. L. (Eds.), CSCL '95: The First International Conference on Computer Support for Collaborative Learning (pp. 125-129). Bloomington, Indiana, USA: Lawrence Erlbaum Associates, Inc.",https://repository.isls.org//handle/1/4159,https://doi.dx.org/10.22318/cscl1995.125,en,"Lawrence Erlbaum Associates, Inc.","Distributed Cognition, Learning Webs, Domain-Oriented Design Environments","The human mind is limited, making collaboration with other humans and with things (in our case with computational environments) a necessity rather than a luxury. Relevant knowledge for work and for learning is distributed in our head, in the heads of others, and in the environment. Learning webs are used by (virtual) communities of practice. Domain-oriented design environments (DODEs) support learning webs by allowing all stakeholders in a design process to learn and work collaboratively with each other and with their computational environments. DODEs serve as models for the design of collaborative working and learning environments by exploring and supporting different relationships and task responsibilities between humans and computers. DODEs integrate working and learning by grounding learning in self-directed, authentic activities. They support learning on demand as an essential element of life-long learning. The creation of DODEs faces the fundamental challenge to make them simultaneously learner-directed and supportive. DODEs transcend other computer-supported cooperative learning systems, which employ the computer only as a medium with few interpretable components. They integrate humans and computational resources more creatively by acknowledging that persons become skill resources only when they consent to do so, whereas computational environments are available at the bidding of the user.",Papers
b39a8914-bb34-407d-8231-b1d6cbea46a4,1/4153,"Fjuk, Annita",2020-02-16T04:42:02Z,2020-02-15T23:07:28Z,2020-02-16T04:42:02Z,2020-02-15T23:07:28Z,1995-10,"Made available in DSpace on 2020-02-16T04:42:02Z (GMT). No. of bitstreams: 1
130-134.pdf: 352818 bytes, checksum: af0ee4f9abd69f697a4763ff0ed47a37 (MD5)
  Previous issue date: 1995-10","Fjuk, A. (1995). Towards an Analytical Framework for CSCdistanceL. In Schnase, J. L. & Cunnius, E. L. (Eds.), CSCL '95: The First International Conference on Computer Support for Collaborative Learning (pp. 130-134). Bloomington, Indiana, USA: Lawrence Erlbaum Associates, Inc.",https://repository.isls.org//handle/1/4160,https://doi.dx.org/10.22318/cscl1995.130,en,"Lawrence Erlbaum Associates, Inc.",Towards an Analytical Framework for CSCdistanceL,This paper presents a framework for evaluation of computer applications in relation to the new and unique phenomenon of learning: Computer supported collaborative distance learning (CSCdistanceL). The framework may also be considered a means for designing computer applications mediating human actions of collaborative learning. Problem oriented project pedagogy is used as a pedagogical foundation to understand collaborative learning. The crucial aspects of this pedagogical viewpoint are interpreted into dialectical contradictions. The contradictions constitute a basis for understanding the incorporated role of the computer application in the various human actions of collaborative learning.,Papers
a2e8d040-efaf-4483-91e9-0a79c54d2d9d,1/4153,"Gaines, Brian R.||Shaw, Mildred L. G.",2020-02-16T04:42:02Z,2020-02-15T23:07:29Z,2020-02-16T04:42:02Z,2020-02-15T23:07:29Z,1995-10,"Made available in DSpace on 2020-02-16T04:42:02Z (GMT). No. of bitstreams: 1
135-138.pdf: 1301495 bytes, checksum: 77d2d6b3f18e3cdbb00534374d44371a (MD5)
  Previous issue date: 1995-10","Gaines, B. R. & Shaw, M. L. (1995). Collaboration through Concept Maps. In Schnase, J. L. & Cunnius, E. L. (Eds.), CSCL '95: The First International Conference on Computer Support for Collaborative Learning (pp. 135-138). Bloomington, Indiana, USA: Lawrence Erlbaum Associates, Inc.",https://repository.isls.org//handle/1/4161,https://doi.dx.org/10.22318/cscl1995.135,en,"Lawrence Erlbaum Associates, Inc.",Collaboration through Concept Maps,"Concept maps have been used in education, policy studies and the philosophy of science to provide a visual representation of knowledge structures and argument forms. They provide a complementary alternative to natural language as a means of communicating knowledge. In many disciplines various forms of concept map are already used as formal knowledge representation systems, for example: semantic networks in artificial intelligence, bond graphs in mechanical and electrical engineering, Petri nets in communications, and category graphs in mathematics. This paper describes the design and applications of groupware concept mapping tools designed to support collaboration in dispersed learning communities.",Papers
18924b96-8964-4b4e-9efd-a0573dd9d32f,1/4153,"Glenn, Phillip J.||Koschmann, Timothy||Conlee, Melinda",2020-02-16T04:42:02Z,2020-02-15T23:07:30Z,2020-02-16T04:42:02Z,2020-02-15T23:07:30Z,1995-10,"Made available in DSpace on 2020-02-16T04:42:02Z (GMT). No. of bitstreams: 1
139-142.pdf: 371146 bytes, checksum: a86645270b4ea8703c3d2df81d96afcd (MD5)
  Previous issue date: 1995-10","Glenn, P. J., Koschmann, T., & Conlee, M. (1995). Theory Sequences in a Problem-Based Learning Group: A Case Study. In Schnase, J. L. & Cunnius, E. L. (Eds.), CSCL '95: The First International Conference on Computer Support for Collaborative Learning (pp. 139-142). Bloomington, Indiana, USA: Lawrence Erlbaum Associates, Inc.",https://repository.isls.org//handle/1/4162,https://doi.dx.org/10.22318/cscl1995.139,en,"Lawrence Erlbaum Associates, Inc.",Theory Sequences in a Problem-Based Learning Group: A Case Study,"Problem-Based Learning (PBL) fosters the development of reasoning strategies via interactive, social processes. The act of theorizing is a component of reasoning being developed in PBL settings. This conversation analytic study investigates the social construction of theorizing in a discussion which takes place in a PBL setting with medical students. Specifically, we describe one instance of theorizing, including theory presentation, treatment, and subsequent ratification by the group. This study holds implications for understandings reasoning as an interactive process.",Papers
3ca5cfd5-30cf-4b54-99b8-28dc5f0fe455,1/4153,"Bell, Philip||Davis, Elizabeth A.||Linn, Marcia C.",2020-02-16T04:42:03Z,2020-02-15T23:06:59Z,2020-02-16T04:42:03Z,2020-02-15T23:06:59Z,1995-10,"Made available in DSpace on 2020-02-16T04:42:03Z (GMT). No. of bitstreams: 1
14-21.pdf: 1841671 bytes, checksum: 1af67ef730269698eaaf1f6d7f09da9e (MD5)
  Previous issue date: 1995-10","Bell, P., Davis, E. A., & Linn, M. C. (1995). The Knowledge Integration Environment: Theory and Design. In Schnase, J. L. & Cunnius, E. L. (Eds.), CSCL '95: The First International Conference on Computer Support for Collaborative Learning (pp. 14-21). Bloomington, Indiana, USA: Lawrence Erlbaum Associates, Inc.",https://repository.isls.org//handle/1/4163,https://doi.dx.org/10.22318/cscl1995.14,en,"Lawrence Erlbaum Associates, Inc.",The Knowledge Integration Environment: Theory and Design,"The Knowledge Integration Environment (KIE) combines network resources and software with sound pedagogical principles to improve science learning. KIE networking tools allow students to use scientific evidence in activities that foster knowledge integration. In a pilot test in an eighth-grade physical science classroom, students worked collaboratively to answer scientific questions such as whether light travels forever or dies out. With the KIE, students use evidence from the Net and tools such as an electronic notebook and on-line discussion tools to make collaborative decisions. This paper describes the pedagogical framework, the components of the KIE software, and initial results from pilot research. We conclude by discussing promising next steps for networking in science education.",Papers
